"sourceCollection","id","model","mediaType","title","prompt","authorName","authorUsername","likes","views","retweets","postedAt","cdnImage","cdnImages","rawImage","rawImages","sourceUrl"
"images","community_40aaf287-ad4f-4b44-a5ea-3dc80a70e6ff","GPT Image","image","create image that model useing this product should be sam...","create image that model useing this product should be same 100% use one hair brush image use European female model with green and birght background.","Anu Vardhan","user_81dc3b6a","0","0","0","29m","images/community_40aaf287-ad4f-4b44-a5ea-3dc80a70e6ff/0.webp","[""images/community_40aaf287-ad4f-4b44-a5ea-3dc80a70e6ff/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_40aaf287-ad4f-4b44-a5ea-3dc80a70e6ff/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_40aaf287-ad4f-4b44-a5ea-3dc80a70e6ff/0.webp""]","https://x.com/user_81dc3b6a/status/community_40aaf287-ad4f-4b44-a5ea-3dc80a70e6ff"
"images","community_49d6a62b-2466-4ad7-93aa-58ebf90cee7b","GPT Image","image","Create a minimalist travel poster using the uploaded imag...","Create a minimalist travel poster using the uploaded image(s) as the primary visual reference. Preserve the authentic identity, architecture, landscapes, colors, and atmosphere from the uploaded images while transforming them into a refined editorial flat-vector illustration inspired by contemporary Algerian graphic design, vintage North African travel posters, and premium tourism magazines. STYLE • Premium editorial travel poster • Modern Algerian visual identity • Soft flat-vector illustration • Minimal geometric shapes • Clean architectural lines • Elegant color blocking • Subtle paper texture • Muted earthy palette with Mediterranean warmth • Simplified yet recognizable architecture • Sophisticated composition with generous negative space • Timeless, elegant, cultural aesthetic • No photorealism • No 3D rendering • No cartoon style • No thick outlinesTypography:At the top, place a large elegant serif title displaying:""ANNABA"" Below it, add a small refined subtitle such as:""algeria• 2026"" Typography should feel luxurious, clean, magazine-quality, and perfectly aligned.
LOCAL ALGERIAN DETAILSIntegrate subtle authentic elements that reflect the city's identity:• Bilingual Arabic and French street signs• Traditional café signage• Directional wayfinding signs• Wilaya road markers• Local shop signs• Palm-lined boulevards• Whitewashed buildings• Moorish arches• Ottoman balconies• Islamic geometric motifs• Andalusian tile accents• Mashrabiya windows• Stone streets• Traditional lanterns• Olive trees• Cedar forests where appropriate• Mediterranean sea, Atlas Mountains, or Sahara dunes depending on the location• Algerian flags used subtly• Traditional pottery and ceramic details• Decorative zellige-inspired borders• Vintage tourism stamp or postal markThese elements should enrich the composition without overwhelming it.COLOR PALETTESample colors from the uploaded images while emphasizing Algerian tones:• Warm ivory• Sand beige• Desert ochre• Terracotta• Olive green• Cedar green• Mediterranean turquoise• Deep cobalt blue• White limestone• Clay red• Warm charcoal• Sunset amber• Palm greenLIGHTINGGolden Mediterranean afternoon light or warm sunset with soft shadows and atmospheric depth.MOODElegantAuthenticPeacefulSophisticatedWarmTimelessCulturally richPremium tourism campaignModern Algerian travel artOUTPUTHigh-resolution editorial flat-vector illustration suitable for:• Luxury travel poster• Tourism campaign• Wall art• Magazine cover• Cultural exhibition• Fine art printAVOIDPhotorealism, heavy gradients, excessive textures, clutter, thick outlines, exaggerated cartoon features, neon colors, modern billboards, watermarks, logos, unrelated objects, or generic travel imagery that does not reflect Algerian culture.The final artwork should immediately evoke Algeria through its architecture, landscapes, typography, colors, and cultural details while maintaining a clean, premium, minimalist editorial aesthetic.","lily design studio","user_6b090ca9","0","0","0","31m","images/community_49d6a62b-2466-4ad7-93aa-58ebf90cee7b/0.webp","[""images/community_49d6a62b-2466-4ad7-93aa-58ebf90cee7b/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_49d6a62b-2466-4ad7-93aa-58ebf90cee7b/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_49d6a62b-2466-4ad7-93aa-58ebf90cee7b/0.webp""]","https://x.com/user_6b090ca9/status/community_49d6a62b-2466-4ad7-93aa-58ebf90cee7b"
"images","community_44d64b84-3987-46f2-a965-e654b9a745f3","GPT Image","image","Islamabad travel poster in elegant handcrafted 3D paper q...","Islamabad travel poster in elegant handcrafted 3D paper quilling and layered papercraft style. The composition features the iconic Faisal Mosque as the centerpiece, meticulously recreated with white cardstock layers and intricate quilled geometric patterns. Surrounding the architecture are the lush, rolling Margalla Hills depicted through layered green cardstock with embossed textures, transitioning into a warm golden-hour sky with depth-layered clouds.

The scene incorporates a textured cream paper background styled as a premium vintage scrapbook. Decorative elements include authentic vintage travel tags, weathered passport stamps, a brass compass, a small leather suitcase, and botanical accents made from delicate paper-cut foliage. Handwritten notes are interspersed, featuring three lyrical phrases inspired by the serenity of Faisal Mosque.

Lighting is soft and volumetric, casting realistic drop shadows between the layers of paper to emphasize the depth and tactile quality of the quilling. The atmosphere is nostalgic and refined, capturing the essence of a high-end travel souvenir.

At the top, the word Islamabad is displayed in elegant serif typography, followed by the subtitle: where every view feels like a memory. At the bottom, text reads Margalla Hills, followed by geographic coordinates and the phrase A Journey to Remember. A small hanging tag features the quote: Collect moments, not things.

Constraints: No plastic-looking surfaces, no digital gradients, no text-based artifacts or blurry fonts. Ensure all elements appear as physical, handcrafted paper components with clean edges and precise cut-outs. High-fidelity textures, museum-quality papercraft, 8K resolution, balanced editorial composition.","Hammad Ahmed","user_53b48453","0","0","0","31m","images/community_44d64b84-3987-46f2-a965-e654b9a745f3/0.webp","[""images/community_44d64b84-3987-46f2-a965-e654b9a745f3/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_44d64b84-3987-46f2-a965-e654b9a745f3/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_44d64b84-3987-46f2-a965-e654b9a745f3/0.webp""]","https://x.com/user_53b48453/status/community_44d64b84-3987-46f2-a965-e654b9a745f3"
"images","community_f8217a4b-4f79-40d9-ab1c-7cccc419bfcf","GPT Image","image","超写实高端铝镁合金行李箱广告，采用暗调情绪化编辑风格拍摄。一位商务男士在凌晨机场航站楼大步前行，拉杆箱随惯性微倾，...","超写实高端铝镁合金行李箱广告，采用暗调情绪化编辑风格拍摄。一位商务男士在凌晨机场航站楼大步前行，拉杆箱随惯性微倾，身体以对角线45度朝向镜头。RIMOWA Original 铝镁合金行李箱采用沟槽式外壳，TSA海关锁、Multiwheel万向轮、阳极氧化铝表面、皮革行李牌，占据画面下三分之二。构图采用浅景深，行李箱箱体锐焦，商务男士上半身柔焦虚化。背景层次丰富，带有凌晨机场质感——冷白色LED灯带与深蓝色玻璃幕墙若隐若现，被浓重暗角晕影笼罩。多行超小号全大写排版文字以不同角度环绕人物，如""ENGINEERED TO MOVE.""和""OWN EVERY MILE.""——部分垂直排列，部分呈30度，营造出精密工业能量。右上方以干净的白色呈现醒目品牌字标""RIMOWA""。顶部中央有一条细横线导航式文字栏，以加宽间距的全大写衬线字体写着""GERMAN ENGINEERING · SINCE 1898 · ANODIZED ALUMINUM""。画面中央偏右放置一句统领性大标题——""GO""以超大号超粗白色字母呈现，后接轻量字体的""WITHOUT COMPROMISE""，形成戏剧性的字体层级。银色圆环(○)和斜向箭头(↗)作为点缀细节散落其间。左下角为一句醒目标语组合：""CARRY YOUR STANDARD""以大号粗体无衬线白色文字呈现，下方细线小字写着""Not just luggage. A statement of intent. Every dent is a destination earned.""。整体光影戏剧性且方向明确——左侧单一冷调顶光使阳极氧化铝表面泛起金属光泽、沟槽阴影层次分明。近景微距细节可见于TSA锁扣精密咬合处。照片级真实感。商业摄影品质。高对比度。4K分辨率。3:4竖版构图，适配社交媒体。","只吃苹果派","user_3f39e769","0","0","0","31m","images/community_f8217a4b-4f79-40d9-ab1c-7cccc419bfcf/0.webp","[""images/community_f8217a4b-4f79-40d9-ab1c-7cccc419bfcf/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_f8217a4b-4f79-40d9-ab1c-7cccc419bfcf/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_f8217a4b-4f79-40d9-ab1c-7cccc419bfcf/0.webp""]","https://x.com/user_3f39e769/status/community_f8217a4b-4f79-40d9-ab1c-7cccc419bfcf"
"images","community_632048c9-387b-4f3a-a17a-f8796837bd75","GPT Image","image","超写实高端城市跑鞋广告，采用暗调情绪化编辑风格拍摄。一位女性跑者在凌晨城市天桥上腾空跃起，跑鞋离地瞬间定格，身体以...","超写实高端城市跑鞋广告，采用暗调情绪化编辑风格拍摄。一位女性跑者在凌晨城市天桥上腾空跃起，跑鞋离地瞬间定格，身体以对角线45度朝向镜头。On Cloudmonster 跑鞋采用超大CloudTec模块，Helion超级泡棉、Speedboard推进板、反光编织鞋面、Missiongrip大底，占据画面下三分之二。构图采用浅景深，右脚跑鞋锐焦，天桥与城市背景柔焦虚化。背景层次丰富，带有凌晨都市质感——暗蓝色钢架天桥与暖橙色街灯倒影若隐若现，被浓重暗角晕影笼罩。多行超小号全大写排版文字以不同角度环绕人物，如""RUN ON CLOUDS. LAND ON PURPOSE.""和""SWISS ENGINEERED FOR THE STREETS""——部分垂直排列，部分呈30度，营造出城市跑者能量。右上方以干净的白色呈现醒目品牌字标""ON""。顶部中央有一条细横线导航式文字栏，以加宽间距的全大写衬线字体写着""SWISS ENGINEERING · CLOUDTEC · BORN IN THE ALPS""。画面中央偏右放置一句统领性大标题——""FLOAT""以超大号超粗白色字母呈现，后接轻量字体的""THEN FLY""，形成戏剧性的字体层级。荧光黄圆点(●)和斜向箭头(↗)作为点缀细节散落其间。左下角为一句醒目标语组合：""DEFY GRAVITY""以大号粗体无衬线白色文字呈现，下方细线小字写着""Not magic. Engineering. Every CloudTec module is a promise: the street won't break you.""。整体光影戏剧性且方向明确——底部单一冷调底光使CloudTec模块泛起半透明光泽、反光编织鞋面闪烁微光。近景微距细节可见于Helion泡棉压缩纹理处。照片级真实感。商业摄影品质。高对比度。4K分辨率。3:4竖版构图，适配社交媒体。","只吃苹果派","user_3f39e769","0","0","0","31m","images/community_632048c9-387b-4f3a-a17a-f8796837bd75/0.webp","[""images/community_632048c9-387b-4f3a-a17a-f8796837bd75/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_632048c9-387b-4f3a-a17a-f8796837bd75/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_632048c9-387b-4f3a-a17a-f8796837bd75/0.webp""]","https://x.com/user_3f39e769/status/community_632048c9-387b-4f3a-a17a-f8796837bd75"
"images","community_39037085-ac7a-4f07-9cce-a9672639fc25","GPT Image","image","Portrait orientation photograph of a young Japanese woman...","Portrait orientation photograph of a young Japanese woman standing in the middle of a lush green rice paddy field, wearing a light cotton yukata with a woven straw hat hanging on her back, holding the hat's ribbon with one hand. Soft late-afternoon sunlight, golden and warm, gentle lens flare from the side. Shot on Kodak Portra 400, fine grain, soft pastel green and warm gold color grading, dreamy Pinterest-aesthetic look. Vertical composition, subject slightly off-center following rule of thirds, rice stalks in sharp foreground blur. Serene, nostalgic countryside summer mood.","Iko","user_6245000c","0","0","0","3h","images/community_39037085-ac7a-4f07-9cce-a9672639fc25/0.webp","[""images/community_39037085-ac7a-4f07-9cce-a9672639fc25/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_39037085-ac7a-4f07-9cce-a9672639fc25/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_39037085-ac7a-4f07-9cce-a9672639fc25/0.webp""]","https://x.com/user_6245000c/status/community_39037085-ac7a-4f07-9cce-a9672639fc25"
"images","community_508a2b41-11af-49ca-9916-1d81b974c3c7","GPT Image","image","Vertical portrait of a young japanese woman walking throu...","Vertical portrait of a young japanese woman walking through terraced tea fields, wearing a simple white blouse and a straw sun hat held by its ribbon, looking back over her shoulder toward the camera. Soft diffused daylight, slightly overcast for even soft lighting. Shot on film, muted green and soft cream tones, gentle vignette. Portrait composition, rolling tea rows leading the eye toward her in the mid-frame. Fresh, airy, effortlessly aesthetic countryside mood","Iko","user_6245000c","0","0","0","3h","images/community_508a2b41-11af-49ca-9916-1d81b974c3c7/0.webp","[""images/community_508a2b41-11af-49ca-9916-1d81b974c3c7/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_508a2b41-11af-49ca-9916-1d81b974c3c7/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_508a2b41-11af-49ca-9916-1d81b974c3c7/0.webp""]","https://x.com/user_6245000c/status/community_508a2b41-11af-49ca-9916-1d81b974c3c7"
"images","community_a9263075-c244-44d2-ac0e-448b29b40ab3","GPT Image","image","9:16 vertical photorealistic summer POV portrait.A young,...","9:16 vertical photorealistic summer POV portrait.A young, mature East Asian woman, 20-25, is beautiful and natural, with a bright, radiant smile, a cheerful expression, sparkling eyes, and a soft, seductive gaze, exactly like the photo I recommend.She is wearing a kebaya and a sarong, exactly like the photo I recommend.The composition is a low-angle, first-person POV. She looks at the camera and extends one slender hand toward the lens, as if inviting the viewer to come closer. Delicate, youthful hands, elegant fingers, precise anatomy, natural perspective.Her long, dark hair is blown by the strong wind, lifted upward and outward. The strands should be clear, continuous, separated, and sunlit, with shimmering edge light and luminous highlights. Don't let the hair become one blurry, dark mass.Scene: sunset by the sea / beach with blue sky / sunny meadow / rooftop view / lakeside. Clean, bright summer backgrounds, natural light, realistic skin, sharp hair details, realistic fabric textures, and a genuine, heart-pounding mood.Avoid CGI, waxy skin, fake smiles, stiff poses, clumped hair, deformed hands, wrinkled palms, extra fingers, bulky clothing, cheap cosplay, and distorted backgrounds.","Jamie DoorsPlus","user_c0f37933","0","0","0","3h","images/community_a9263075-c244-44d2-ac0e-448b29b40ab3/0.webp","[""images/community_a9263075-c244-44d2-ac0e-448b29b40ab3/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_a9263075-c244-44d2-ac0e-448b29b40ab3/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_a9263075-c244-44d2-ac0e-448b29b40ab3/0.webp""]","https://x.com/user_c0f37933/status/community_a9263075-c244-44d2-ac0e-448b29b40ab3"
"images","community_e76ced79-5872-49df-b4de-b007af518df8","GPT Image","image","A graceful young woman wearing a deep lavender silk hanfu...","A graceful young woman wearing a deep lavender silk hanfu standing on a wooden bridge over a lotus pond under the full moon. Hundreds of glowing lanterns float across the water while fireflies illuminate the night. She gently holds a traditional folding fan instead of a scroll. Ancient Chinese palace in the background surrounded by misty mountains. Magical blue lighting, cinematic atmosphere, ultra-realistic, masterpiece, volumetric moonlight, dreamy fantasy, luxury fashion photography, 8K, HDR.","Amritpal Kaur","user_4a93cc0d","0","0","0","3h","images/community_e76ced79-5872-49df-b4de-b007af518df8/0.webp","[""images/community_e76ced79-5872-49df-b4de-b007af518df8/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_e76ced79-5872-49df-b4de-b007af518df8/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_e76ced79-5872-49df-b4de-b007af518df8/0.webp""]","https://x.com/user_4a93cc0d/status/community_e76ced79-5872-49df-b4de-b007af518df8"
"images","community_31c8fb04-1d7c-4496-acd4-65a37c8988f7","Z Image Turbo","image","Glamorous studio beauty portrait of an elegant young asia...","Glamorous studio beauty portrait of an elegant young asian woman with glossy dark brown wavy hair, centered composition, cropped to mid-chest, holding a translucent red heart-shaped lollipop over her left eye while puckering her lips in a playful kiss; deep matte crimson background, warm golden highlights, soft even key light from the front with gentle rim light to accentuate hair, subtle soft shadows for dimensionality. Flawless, natural-retouched skin with visible fine texture, sculpted cheekbones, neutral smoky eye makeup, defined brows, voluminous lashes, glossy nude-pink lips. Layered gold jewelry: red bead choker and matching heart pendant with delicate dangling chains. Emphasize crystal-clear specular highlights on the candy, moist lip sheen, sharp catchlights in the visible eye, rich saturated reds and warm gold tones, creamy bokeh, shallow depth of field, high-resolution photorealistic detail, cinematic color grading, polished retouching, natural skin pores, filmic grain optional, 85mm focal look, softbox studio lighting, impeccable composition and symmetry.","Sandevil","user_48ccf1ac","0","0","0","3h","images/community_31c8fb04-1d7c-4496-acd4-65a37c8988f7/0.webp","[""images/community_31c8fb04-1d7c-4496-acd4-65a37c8988f7/0.webp""]","https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_31c8fb04-1d7c-4496-acd4-65a37c8988f7/0.webp","[""https://raw.githubusercontent.com/mrslimslim/awesome-prompt/main/images/community_31c8fb04-1d7c-4496-acd4-65a37c8988f7/0.webp""]","https://x.com/user_48ccf1ac/status/community_31c8fb04-1d7c-4496-acd4-65a37c8988f7"
